AIDOGE/USDT:USDT | type: swap | contractSize: 1.0
RUNE/USDT:USDT | type: swap | contractSize: 1.0
BIGTIME/USDT:USDT | type: swap | contractSize: 1.0
DYDX/USDT:USDT | type: swap | contractSize: 1.0
INJ/USDT:USDT | type: swap | contractSize: 1.0
SIMBTC/USDT:USDT | type: swap | contractSize: 1.0
APT/USDT:USDT | type: swap | contractSize: 1.0
XLM/USDT:USDT | type: swap | contractSize: 1.0
TRX/USDT:USDT | type: swap | contractSize: 1.0
FLOW/USDT:USDT | type: swap | contractSize: 1.0
CFX/USDT:USDT | type: swap | contractSize: 1.0
CELO/USDT:USDT | type: swap | contractSize: 1.0
LPT/USDT:USDT | type: swap | contractSize: 1.0
STORJ/USDT:USDT | type: swap | contractSize: 1.0
XVG/USDT:USDT | type: swap | contractSize: 1.0
COMP/USDT:USDT | type: swap | contractSize: 1.0
ENS/USDT:USDT | type: swap | contractSize: 1.0
BEL/USDT:USDT | type: swap | contractSize: 1.0
LADYS/USDT:USDT | type: swap | contractSize: 1.0
LDO/USDT:USDT | type: swap | contractSize: 1.0
AXS/USDT:USDT | type: swap | contractSize: 1.0
HIFI/USDT:USDT | type: swap | contractSize: 1.0
SEI/USDT:USDT | type: swap | contractSize: 1.0
BAKE/USDT:USDT | type: swap | contractSize: 1.0
GRT/USDT:USDT | type: swap | contractSize: 1.0
ICP/USDT:USDT | type: swap | contractSize: 1.0
